


Gadgets
=======


0x000a1713: aad 0x81; ret 0x465; 
0x0011db86: ret 0x533c; 
0x0004985f: ret 0x5403; 
0x0003180c: ret 0x542b; 
0x0003c6f7: ret 0x5438; 
0x00082231: ret 0x5439; 
0x000e9527: ret 0x543b; 
0x00044d50: ret 0x5489; 
0x0002eb35: ret 0x548b; 
0x001031db: ret 0x548d; 
0x000aad7c: ret 0x54e9; 
0x000b6332: ret 0x553; 
0x0003009c: ret 0x5574; 
0x000f7626: ret 0x5589; 
0x000c2e37: ret 0x562b; 
0x000a2573: ret 0x5664; 
0x000560df: ret 0x575; 
0x0003f025: ret 0x5755; 
0x00105e46: ret 0x6173; 
0x000677c8: ret 0x61e9; 
0x0000c984: ret 0x64; 
0x00047e5b: ret 0x6472; 
0x000d3931: ret 0x65e9; 
0x001052c4: ret 0x6601; 
0x00053cda: ret 0x6602; 
0x00104e58: ret 0x6677; 
0x000c9238: ret 0x66aa; 
0x000a36a4: ret 0x673; 
0x00113737: ret 0x6741; 
0x000e87c4: ret 0x688; 
0x00051b5c: ret 0x688b; 
0x000e1355: ret 0x688d; 
0x0009590d: ret 0x689; 
0x000890ce: ret 0x68b; 
0x0000be44: ret 0x6a; 
0x000dbc58: ret 0x6a8d; 
0x0000c224: ret 0x6c; 
0x000c6cf3: ret 0x6c7; 
0x000fbb14: ret 0x6c89; 
0x0005fdb9: ret 0x6c8b; 
0x00059d99: ret 0x6d74; 
0x00107f42: ret 0x6f74; 
0x0005a3c8: ret 0x6f75; 
0x000ad338: ret 0x708d; 
0x000fc14a: ret 0x70e9; 
0x000f344e: ret 0x71e9; 
0x0009f696: ret 0x728d; 
0x00059da5: ret 0x7373; 
0x000f4a5d: ret 0x73e9; 
0x00037c71: ret 0x7401; 
0x00044daa: ret 0x7402; 
0x000c8f6f: ret 0x7403; 
0x000d7158: ret 0x7406; 
0x000f8822: ret 0x7407; 
0x0006742c: ret 0x7408; 
0x000f450d: ret 0x7422; 
0x0004b46b: ret 0x7489; 
0x0003dfca: ret 0x748b; 
0x0004ea1b: ret 0x748d; 
0x000147b4: ret 0x75; 
0x000ab6c7: ret 0x7501; 
0x000ca33f: ret 0x7502; 
0x000c53d0: ret 0x7503; 
0x000d718d: ret 0x7508; 
0x000f884d: ret 0x750f; 
0x00057baa: ret 0x7510; 
0x00036597: ret 0x7540; 
0x00095932: ret 0x75d; 
0x00044dd6: ret 0x75e9; 
0x000599e8: ret 0x7775; 
0x000b7593: ret 0x77e8; 
0x00006b94: ret 0x78; 
0x0002cc47: ret 0x79b1; 
0x000a747e: ret 0x7a8b; 
0x00067b11: ret 0x7a8d; 
0x000d4cf6: ret 0x7ae9; 
0x000a1b13: ret 0x7c80; 
0x000a9e88: ret 0x7c83; 
0x00057980: ret 0x7c89; 
0x00080e2f: ret 0x7c8b; 
0x000ffd9b: ret 0x7c8d; 
0x000b868e: ret 0x7ce8; 
0x0008dd32: ret 0x7d9; 
0x00036af5: ret 0x8001; 
0x00047e2e: ret 0x8002; 
0x0002c37c: ret 0x8080; 
0x0002e1b2: ret 0x8101; 
0x000dbfda: ret 0x8104; 
0x0003da29: ret 0x820f; 
0x000ce8c4: ret 0x827; 
0x00033114: ret 0x8301; 
0x00054f26: ret 0x8302; 
0x000e00aa: ret 0x8303; 
0x0002cd4e: ret 0x8304; 
0x000af790: ret 0x8308; 
0x0002ba36: ret 0x830c; 
0x0002e3d5: ret 0x830f; 
0x000fbdbc: ret 0x8315; 
0x000a7ff3: ret 0x8320; 
0x000b5c77: ret 0x8331; 
0x00033358: ret 0x8353; 
0x000cc09c: ret 0x8360; 
0x000c4e32: ret 0x8366; 
0x00057205: ret 0x8389; 
0x0008abe6: ret 0x838b; 
0x00027bff: ret 0x838d; 
0x0005b983: ret 0x83ff; 
0x0005532f: ret 0x8401; 
0x00030926: ret 0x840f; 
0x00049836: ret 0x848b; 
0x000f6eb0: ret 0x84dd; 
0x000f8388: ret 0x8501; 
0x0005a39a: ret 0x850f; 
0x001190da: ret 0x8581; 
0x000ce233: ret 0x85c7; 
0x00006b74: ret 0x86; 
0x0003a78d: ret 0x860f; 
0x00085432: ret 0x862; 
0x0003c4e2: ret 0x870f; 
0x00054270: ret 0x873; 
0x0009f9e1: ret 0x874; 
0x0007dc79: ret 0x88; 
0x0002ee12: ret 0x8801; 
0x000acd5d: ret 0x8830; 
0x0002d172: ret 0x88b; 
0x0002bae7: ret 0x8901; 
0x0003dc56: ret 0x8902; 
0x000aa603: ret 0x8903; 
0x00067734: ret 0x8904; 
0x0004e5cd: ret 0x8908; 
0x001089f7: ret 0x8909; 
0x00028681: ret 0x890a; 
0x000f895f: ret 0x890c; 
0x00091dc6: ret 0x890d; 
0x000af98c: ret 0x8910; 
0x0005baa6: ret 0x8921; 
0x0007988b: ret 0x8930; 
0x000ec516: ret 0x8958; 
0x000ce16d: ret 0x8966; 
0x0007fd5e: ret 0x8b; 
0x00030fe2: ret 0x8b01; 
0x0002c881: ret 0x8b04; 
0x000a23c9: ret 0x8b07; 
0x0003e813: ret 0x8b08; 
0x0002ba63: ret 0x8b0c; 
0x000a009b: ret 0x8b10; 
0x000d32aa: ret 0x8b14; 
0x000d356d: ret 0x8b1c; 
0x000f7884: ret 0x8b8b; 
0x00032334: ret 0x8d01; 
0x0008ef38: ret 0x8d0f; 
0x000614cc: ret 0x8e0f; 
0x000df6ef: ret 0x9189; 
0x000613a4: ret 0x920f; 
0x00033b14: ret 0x932b; 
0x000e4058: ret 0x9439; 
0x00077032: ret 0x946; 
0x000d0c3e: ret 0x9688; 
0x0003d8ce: ret 0x973; 
0x000597f4: ret 0x975; 
0x00047ec3: ret 0x98eb; 
0x00057a39: ret 0x9ae9; 
0x00062fd7: ret 0x9c0f; 
0x00006a48: ret 0x9d0; 
0x000a0016: ret 0x9e75; 
0x000f3467: ret 0x9e9; 
0x00036ae8: ret 0x9eb; 
0x00062e20: ret 0x9f0f; 
0x000050c0: ret 0xa; 
0x0012a386: ret 0xa02; 
0x000b2e13: ret 0xa76; 
0x00118e60: ret 0xa88f; 
0x0000d708: ret 0xa96; 
0x0009ff7d: ret 0xa975; 
0x000eec58: ret 0xaceb; 
0x000e2dcc: ret 0xaee8; 
0x00109df2: ret 0xaeeb; 
0x0006ecde: ret 0xafe8; 
0x00005394: ret 0xb; 
0x0003c6cd: ret 0xb075; 
0x00100432: ret 0xb2; 
0x0009cbc4: ret 0xb44; 
0x000af959: ret 0xb489; 
0x000f6328: ret 0xb48b; 
0x0010a9ae: ret 0xb4e9; 
0x0002e3ad: ret 0xb60f; 
0x000e1a03: ret 0xb70f; 
0x0004e9ec: ret 0xb7eb; 
0x00060e7f: ret 0xb8; 
0x000f6ff1: ret 0xbae9; 
0x0004ea37: ret 0xbaeb; 
0x000677cf: ret 0xbbeb; 
0x00047e85: ret 0xbc83; 
0x000e35be: ret 0xbce8; 
0x000d14b1: ret 0xbd04; 
0x00095e49: ret 0xbe0f; 
0x00118ed7: ret 0xbe30; 
0x0004e9e5: ret 0xbeeb; 
0x000a4413: ret 0xbf0f; 
0x000010c4: ret 0xc; 
0x0003e08b: ret 0xc031; 
0x0005be2c: ret 0xc083; 
0x00028122: ret 0xc085; 
0x000311bd: ret 0xc102; 
0x000bff97: ret 0xc103; 
0x000a2699: ret 0xc104; 
0x00080bd4: ret 0xc105; 
0x000a26ac: ret 0xc106; 
0x00030f70: ret 0xc109; 
0x000311e5: ret 0xc10a; 
0x000311a9: ret 0xc114; 
0x000311d1: ret 0xc11e; 
0x0007a318: ret 0xc139; 
0x000ffa73: ret 0xc166; 
0x0004bca1: ret 0xc189; 
0x000b4336: ret 0xc1d8; 
0x0004ea30: ret 0xc1eb; 
0x000483da: ret 0xc269; 
0x0009c74a: ret 0xc28; 
0x00037c6f: ret 0xc283; 
0x000fb669: ret 0xc2f7; 
0x0011de46: ret 0xc300; 
0x00048332: ret 0xc33; 
0x0009c6d7: ret 0xc34; 
0x00044f24: ret 0xc589; 
0x000636bc: ret 0xc6; 
0x000300b4: ret 0xc601; 
0x00092a40: ret 0xc689; 
0x00030942: ret 0xc701; 
0x000d6606: ret 0xc702; 
0x0002cd63: ret 0xc704; 
0x00098ef1: ret 0xc729; 
0x000b5387: ret 0xc731; 
0x000f1fd6: ret 0xc739; 
0x00095046: ret 0xc789; 
0x0003308b: ret 0xc801; 
0x0003c535: ret 0xc84; 
0x00055751: ret 0xc889; 
0x00106997: ret 0xc8d; 
0x00061dd3: ret 0xc931; 
0x0002cd40: ret 0xc985; 
0x0004b91d: ret 0xc9c1; 
0x0005cb1d: ret 0xc9d8; 
0x0004a1f7: ret 0xca09; 
0x000823fe: ret 0xca0f; 
0x00044844: ret 0xca21; 
0x000449f2: ret 0xca31; 
0x000fc601: ret 0xca80; 
0x000ab9f6: ret 0xca83; 
0x0004aadf: ret 0xcac1; 
0x0005cced: ret 0xcad8; 
0x000679ee: ret 0xcd75; 
0x000446de: ret 0xcd89; 
0x00063549: ret 0xcde9; 
0x000d8294: ret 0xce29; 
0x00054742: ret 0xce80; 
0x0004c403: ret 0xcec1; 
0x00009118: ret 0xcf6; 
0x00036b32: ret 0xcf89; 
0x00049952: ret 0xcfc1; 
0x00001f4c: ret 0xd; 
0x0005d85a: ret 0xd028; 
0x000db8b3: ret 0xd029; 
0x0010b5bb: ret 0xd039; 
0x000a74e0: ret 0xd077; 
0x0002afb8: ret 0xd089; 
0x000c3481: ret 0xd0eb; 
0x0004e66a: ret 0xd0f7; 
0x0003c0dc: ret 0xd101; 
0x000f5b93: ret 0xd108; 
0x00063e56: ret 0xd129; 
0x000c82fa: ret 0xd131; 
0x0003a132: ret 0xd15; 
0x00067383: ret 0xd189; 
0x000d6f38: ret 0xd1e9; 
0x000d8af0: ret 0xd201; 
0x000483b2: ret 0xd269; 
0x0006331b: ret 0xd284; 
0x00098798: ret 0xd285; 
0x000446ac: ret 0xd2f7; 
0x00037d32: ret 0xd39; 
0x0006399e: ret 0xd589; 
0x000d5fd0: ret 0xd601; 
0x000e22b7: ret 0xd639; 
0x00094cdd: ret 0xd689; 
0x0004b8f9: ret 0xd701; 
0x0006b426: ret 0xd789; 
0x000dc98a: ret 0xd874; 
0x000b44b4: ret 0xd901; 
0x00059899: ret 0xd975; 
0x00010938: ret 0xda1; 
0x000b39b4: ret 0xda52; 
0x0005be43: ret 0xdaf7; 
0x000f9f3b: ret 0xdb7d; 
0x000b35d2: ret 0xdc01; 
0x000a1c35: ret 0xdf74; 
0x0004e9c4: ret 0xdfeb; 
0x00064dc8: ret 0xe; 
0x0004e5bd: ret 0xe083; 
0x00127ac1: ret 0xe0a; 
0x0004f44f: ret 0xe0c1; 
0x0005bdba: ret 0xe0d3; 
0x000d499b: ret 0xe0eb; 
0x000ccb0b: ret 0xe175; 
0x0005cc27: ret 0xe1d9; 
0x0003a7bc: ret 0xe272; 
0x000284b7: ret 0xe280; 
0x0002d6e9: ret 0xe281; 
0x00051116: ret 0xe283; 
0x0002d707: ret 0xe2c1; 
0x0006acc4: ret 0xe63; 
0x0003ae41: ret 0xe672; 
0x0003c6c6: ret 0xe84; 
0x00062142: ret 0xe883; 
0x0002ae73: ret 0xe889; 
0x000380d8: ret 0xe901; 
0x00047ffe: ret 0xe902; 
0x000d8a8c: ret 0xe903; 
0x000d8aae: ret 0xe904; 
0x00061562: ret 0xe907; 
0x000ec6e4: ret 0xe90f; 
0x00082310: ret 0xe910; 
0x0010b5ef: ret 0xe977; 
0x000483dc: ret 0xe995; 
0x000c93bb: ret 0xe9c1; 
0x000d09cb: ret 0xea29; 
0x000a7297: ret 0xea39; 
0x00005cb8: ret 0xea5; 
0x00063415: ret 0xea74; 
0x0002d855: ret 0xea75; 
0x0003c51f: ret 0xea83; 
0x0002d9c6: ret 0xeac0; 
0x0002d6fb: ret 0xeac1; 
0x0002d6dd: ret 0xead1; 
0x000a790b: ret 0xead3; 
0x0002bac5: ret 0xeb01; 
0x000d28b9: ret 0xeb02; 
0x0010b3fc: ret 0xeb0c; 
0x000ed103: ret 0xeceb; 
0x0003e577: ret 0xed31; 
0x0003bd17: ret 0xed72; 
0x000fb63a: ret 0xed74; 
0x000c26a4: ret 0xee7d; 
0x0003b049: ret 0xee83; 
0x00033121: ret 0xef75; 
0x000f64d2: ret 0xef77; 
0x000ff935: ret 0xf001; 
0x0002ec4a: ret 0xf01; 
0x00054dc8: ret 0xf02; 
0x00108d21: ret 0xf039; 
0x00054337: ret 0xf04; 
0x000ff777: ret 0xf08; 
0x00044c4c: ret 0xf089; 
0x00057a92: ret 0xf10; 
0x0005c646: ret 0xf189; 
0x0010880a: ret 0xf1c3; 
0x000e38e0: ret 0xf209; 
0x0007a201: ret 0xf229; 
0x00044a5e: ret 0xf231; 
0x001004da: ret 0xf246; 
0x000f75c8: ret 0xf273; 
0x000fb68b: ret 0xf274; 
0x000f661e: ret 0xf277; 
0x0012e3b0: ret 0xf2a8; 
0x000f644a: ret 0xf2d9; 
0x000f738a: ret 0xf2fc; 
0x001134f8: ret 0xf2fd; 
0x0012fba0: ret 0xf2fe; 
0x000f5803: ret 0xf30; 
0x000f1e9a: ret 0xf358; 
0x000ee8da: ret 0xf362; 
0x000f8454: ret 0xf372; 
0x000f8a9e: ret 0xf377; 
0x001329f0: ret 0xf3ae; 
0x000e014a: ret 0xf3b; 
0x000e68aa: ret 0xf3d3; 
0x00068696: ret 0xf40; 
0x000e207a: ret 0xf458; 
0x00059879: ret 0xf472; 
0x00115a34: ret 0xf4c1; 
0x000d68da: ret 0xf4e2; 
0x000d258a: ret 0xf524; 
0x000d0d8a: ret 0xf543; 
0x00137e20: ret 0xf54e; 
0x00121ab8: ret 0xf56b; 
0x000d1c99: ret 0xf589; 
0x000c414a: ret 0xf5ef; 
0x000c4f4a: ret 0xf5fb; 
0x000c23da: ret 0xf627; 
0x0006053d: ret 0xf631; 
0x0013b630: ret 0xf63d; 
0x0005cf83: ret 0xf66; 
0x000323ae: ret 0xf675; 
0x000661b3: ret 0xf685; 
0x000bbc8a: ret 0xf6b1; 
0x000b568a: ret 0xf6de; 
0x00122630: ret 0xf75c; 
0x0005c749: ret 0xf77c; 
0x0005d438: ret 0xf77f; 
0x00047393: ret 0xf789; 
0x000a32ea: ret 0xf816; 
0x000a3f9a: ret 0xf835; 
0x0002fc1d: ret 0xf883; 
0x0003487b: ret 0xf889; 
0x00122ec0: ret 0xf8ab; 
0x000e0b36: ret 0xf929; 
0x001446bc: ret 0xf96f; 
0x0008bfaa: ret 0xf971; 
0x0008a5fa: ret 0xf9c8; 
0x001233e8: ret 0xf9e0; 
0x00044ad0: ret 0xfa01; 
0x00123540: ret 0xfa0e; 
0x0004c18b: ret 0xfa21; 
0x00046c63: ret 0xfa29; 
0x00044a76: ret 0xfa31; 
0x0007a334: ret 0xfa80; 
0x0005fe90: ret 0xfa81; 
0x0004cb1f: ret 0xfa83; 
0x0007b36a: ret 0xfab0; 
0x001497ec: ret 0xfab4; 
0x000780ea: ret 0xfabd; 
0x00047c3c: ret 0xfad1; 
0x000699aa: ret 0xfb97; 
0x0003024d: ret 0xfbb6; 
0x0006775a: ret 0xfbb9; 
0x00036234: ret 0xfbc1; 
0x00046b65: ret 0xfbdf; 
0x0005345a: ret 0xfbee; 
0x0006648f: ret 0xfc02; 
0x00074a17: ret 0xfc0b; 
0x00124068: ret 0xfc17; 
0x00080a58: ret 0xfc23; 
0x0006438a: ret 0xfc2a; 
0x0008ca55: ret 0xfc35; 
0x000b8c64: ret 0xfc65; 
0x000be7e7: ret 0xfc6f; 
0x000c66ae: ret 0xfc79; 
0x000cff44: ret 0xfc84; 
0x0005d7ca: ret 0xfc8e; 
0x000dd79c: ret 0xfc9b; 
0x000e7203: ret 0xfca5; 
0x000f47b8: ret 0xfcc8; 
0x0005411a: ret 0xfd0b; 
0x001248f0: ret 0xfd28; 
0x00047d6b: ret 0xfd83; 
0x00039dec: ret 0xfd89; 
0x000445da: ret 0xfe05; 
0x000409aa: ret 0xfe27; 
0x00047556: ret 0xfeb8; 
0x0003768a: ret 0xfef1; 
0x000f9a07: ret 0xff00; 
0x0005cfa3: ret 0xff2; 
0x00047cf7: ret 0xff31; 
0x00047cb5: ret 0xffb8; 
0x00040b40: ret 0xffb9; 
0x000b00f7: ret 0xffe9; 
0x0010df0d: ret 0xffee; 
0x0011faa1: ret 0xfff0; 
0x00108094: ret 0xfff1; 
0x000790e2: ret 0xfff2; 
0x000b07cf: ret 0xfff3; 
0x000d6ef7: ret 0xfff4; 
0x000c7c90: ret 0xfff5; 
0x000b6e3a: ret 0xfff6; 
0x000ab3ca: ret 0xfff7; 
0x00096ef4: ret 0xfff8; 
0x000579da: ret 0xfff9; 
0x00076e65: ret 0xfffa; 
0x000363f9: ret 0xfffb; 
0x0002a9a5: ret 0xfffc; 
0x000311af: ret 0xfffd; 
0x000374aa: ret 0xfffe; 
0x00026cdd: ret 0xffff; 
0x00002de4: ret 1; 
0x00003ab8: ret 2; 
0x00004ab4: ret 3; 
0x00005414: ret 4; 
0x00005788: ret 5; 
0x00004878: ret 6; 
0x00004340: ret 7; 
0x00005344: ret 8; 
0x00004acc: ret 9; 
0x000bf675: rol byte ptr [eax + eax], 0x81; ret; 
0x000f32f1: rol byte ptr [ebp - 0x76ab8b40], cl; ret 0xeac1; 
0x000bb1f2: rol byte ptr [ebx - 0x6af0f901], cl; ret 0xf089; 
0x000bb1b8: rol byte ptr [ebx - 0x6bf0f901], cl; ret 0xf089; 
0x00046f00: rol byte ptr [ebx - 0x7bf0fd08], cl; ret 0; 
0x00062491: rol byte ptr [ecx], 0x81; ret 0x272; 
0x000a0726: rol byte ptr [ecx], 0x81; ret 0x466; 
0x000dab6b: rol byte ptr [ecx], 0x83; ret 0x3901; 
0x000a801c: rol byte ptr [ecx], 0x83; ret 0x3908; 
0x0009fe2d: rol byte ptr [ecx], 0x83; ret 0x3910; 
0x00062512: rol byte ptr [ecx], 0x83; ret 0x3b04; 
0x00077792: rol byte ptr [ecx], 0x83; ret 0x8301; 
0x000a0098: rol byte ptr [ecx], 0x83; ret 0x8b10; 
0x000f92c4: rol byte ptr [ecx], 0x83; ret 0xf01; 
0x000311f4: rol byte ptr [ecx], 0x89; ret 0x4489; 
0x000478c8: rol byte ptr [edx], 0x39; ret 0x820f; 
0x0005bca9: rol byte ptr [edx], 0x5e; ret; 
0x00053cd7: rol byte ptr [edx], 0x83; ret 0x6602; 
0x000740fb: rol dword ptr [eax + 0xf], -0x7c; ret; 
0x000bf585: rol dword ptr [eax + eax], -0x7f; ret; 
0x00120805: rol dword ptr [eax], 0; ret; 
0x000ffa96: rol dword ptr [ebx], -0x77; ret 0xead3; 
0x00061de9: rol dword ptr [ecx], -0x7d; ret 0x3910; 
0x0003ce55: rol dword ptr [ecx], -0x7d; ret 0x8304; 
0x000cc099: rol dword ptr [ecx], -0x7d; ret 0x8360; 
0x000b4366: rol dword ptr [ecx], -0x80; ret 0x8830; 
0x000f8214: rol dword ptr [ecx], 0x39; ret 0xf77f; 
0x00054dc5: rol dword ptr [edx], -0x7d; ret 0xf02; 
0x00060b8b: rol dword ptr [edx], 0x40; ret; 
0x00060b6b: rol dword ptr [edx], 0x48; ret; 
0x0003f665: ror byte ptr [eax + eax], 0x81; ret; 
0x0009f9db: ror byte ptr [ebx + 0x394c2454], 1; ret 0x874; 
0x0009890a: ror byte ptr [ecx - 0x14afdb8c], 1; ret 0x44c7; 
0x0004ee33: ror byte ptr [ecx - 0x16e3dbbc], 1; ret; 
0x0004bd9c: ror byte ptr [ecx], cl; ret 0xca31; 
0x000d60f6: ror byte ptr [ecx], cl; ret 0xf231; 
0x0004be14: ror byte ptr [ecx], cl; ret 0xfa31; 
0x0009b474: ror byte ptr [edi], 0x84; ret 0; 
0x00071f20: ror byte ptr [edi], 0x84; ret 1; 
0x000b0f46: ror byte ptr [edi], 0x84; ret 9; 
0x00031b42: ror byte ptr [edi], 0x84; ret; 
0x000e3006: ror byte ptr [edi], 0x85; ret 0; 
0x000afe7d: ror byte ptr [edi], 0x85; ret; 
0x000b00f4: ror byte ptr [edi], 0x89; ret 0xffe9; 
0x000b4f8d: ror byte ptr [edi], 0x89; ret; 
0x000d4f8d: ror byte ptr [edi], 0x8f; ret; 
0x0005d857: ror byte ptr [edi], 0x92; ret 0xd028; 
0x0002fe47: ror byte ptr [edi], 0x94; ret 0xd089; 
0x000a871f: ror byte ptr [edi], 0x94; ret 0xdaf7; 
0x000576a0: ror byte ptr [edi], 0x95; ret 0xd089; 
0x000d3aad: ror byte ptr [edi], 0x95; ret 0xe0d3; 
0x0005d172: ror cl, cl; ret; 
0x0003f4fd: ror dword ptr [eax + eax], -0x7f; ret; 
0x000597ee: ror dword ptr [ebp + 0x39fe0a44], 1; ret 0x975; 
0x0007ee98: ror dword ptr [edi], -0x7c; ret; 
0x0005242c: sal bh, 0xd8; ret; 
0x000a3f68: sal byte ptr [ebp - 0x15], 0xeb; ret 0x838d; 
0x00037dd5: sal byte ptr [ebp - 0x1a], 0xe8; ret; 
0x000f3d08: sal byte ptr [ebp - 0x1a], cl; ret; 
0x000f82b4: sal byte ptr [ebp - 0x2a], 0xeb; ret; 
0x000f8136: sal byte ptr [ebp - 0x4b], 0xe9; ret; 
0x0002df7f: sal byte ptr [ebp - 0xd], 1; ret; 
0x00054fa1: sal byte ptr [ebx + edx - 0x77], cl; ret 0xc283; 
0x000e1867: sal byte ptr [ecx - 0x77], cl; ret 0xe283; 
0x000c6383: sal byte ptr [edi - 4], 0xff; ret; 
0x000f97b5: sal byte ptr [esi + eax - 0x7d], cl; ret 0x8304; 
0x0006403f: sal byte ptr [esi + ebx - 0x7f], cl; ret 0x3724; 
0x000a256f: sal byte ptr [esi + ebx - 0x7f], cl; ret 0x5664; 
0x00104347: sal dword ptr [edi - 0xb], 1; ret; 
0x000dbc54: sal dword ptr [esi + 0x3d], 0x29; ret 0x6a8d; 
0x00115a31: sal esp, -1; ret 0xf4c1; 
0x000d6a50: sar byte ptr [eax + 4], 0x39; ret 0x1d72; 
0x000284b3: sar byte ptr [ecx + 0x3a], 0x89; ret 0xe280; 
0x000f6114: sar byte ptr [esi + 6], 0x29; ret 0xc729; 
0x00098eed: sar byte ptr [esi + 8], 0x29; ret 0xc729; 
0x000f8d94: sar dword ptr [esi + 9], -0x7d; ret 0x101; 
0x0005bd9f: sar eax, cl; ret; 
0x0005bd97: sar edx, cl; ret; 
0x00094cdb: sbb al, 0x21; ret 0xd689; 
0x00027ab1: sbb al, 0x24; ret; 
0x000a749d: sbb al, 0x39; ret 0x860f; 
0x000a755e: sbb al, 0x39; ret 0x870f; 
0x0002a1c9: sbb al, 0x5b; ret; 
0x0002e48b: sbb al, 0x73; ret; 
0x00050e5b: sbb al, 0x83; ret 0x8901; 
0x0009b8c5: sbb al, 0x83; ret 0xc701; 
0x000d392f: sbb al, 0x89; ret 0x65e9; 
0x000f4a5b: sbb al, 0x89; ret 0x73e9; 
0x000f8ef2: sbb al, 0x89; ret 0xc085; 
0x000d234d: sbb al, 0x89; ret 0xf089; 
0x0008dd30: sbb al, 0xe8; ret 0x7d9; 
0x0004ee37: sbb al, 0xe9; ret; 
0x000f7a99: sbb al, 0xf7; ret 0; 
0x00031eb5: sbb al, 1; ret 0xb60f; 
0x000c82f8: sbb al, 1; ret 0xd131; 
0x0003e66c: sbb al, byte ptr [eax + 0x174fffa]; ret; 
0x0004b9c9: sbb al, byte ptr [ecx]; ret 0xc9c1; 
0x0004c401: sbb al, byte ptr [ecx]; ret 0xcec1; 
0x000f4c2f: sbb al, ch; ret; 
0x00103417: sbb byte ptr [eax - 0x76bfdbac], cl; ret 0xeac1; 
0x001033ef: sbb byte ptr [eax - 0x76c3dbac], cl; ret 0xeac1; 
0x001033cb: sbb byte ptr [eax - 0x76c7dbac], cl; ret 0xeac1; 
0x001033a7: sbb byte ptr [eax - 0x76cbdbac], cl; ret 0xeac1; 
0x00103383: sbb byte ptr [eax - 0x76cfdbac], cl; ret 0xeac1; 
0x0010335f: sbb byte ptr [eax - 0x76d3dbac], cl; ret 0xeac1; 
0x000d6f32: sbb byte ptr [ebp - 0x76418b40], al; ret 0xd1e9; 
0x000f97b3: sbb byte ptr [ebp - 0x7cf98b2e], al; ret 0x8304; 
0x0003195c: sbb byte ptr [ebx + 0x1142454], cl; ret 0xb60f; 
0x00094cd7: sbb byte ptr [ebx + 0x211c2454], cl; ret 0xd689; 
0x000fa721: sbb byte ptr [ebx - 0x16e7dbb4], cl; ret 0xfffe; 
0x000f1638: sbb byte ptr [ebx - 0x16ebdbbc], cl; ret; 
0x000469bb: sbb byte ptr [ebx - 0x41f0fe3b], al; ret 0xc085; 
0x000a4005: sbb byte ptr [ebx - 0x7bf00008], al; ret; 
0x000f7a95: sbb byte ptr [ebx - 0x8e3dbac], cl; ret 0; 
0x000536af: sbb byte ptr [ecx + edx*2 - 0x77], dh; ret 0xf089; 
0x000d708d: sbb byte ptr [ecx - 0x2517dbfc], cl; ret 0xfff4; 
0x00044c46: sbb byte ptr [ecx - 0x76ebdbbc], cl; ret 0xf089; 
0x00054f20: sbb byte ptr [ecx - 0x7cefdbb4], cl; ret 0x8302; 
0x00049607: sbb byte ptr [ecx - 0x7f17dbfc], cl; ret 0xfffd; 
0x000feab9: sbb byte ptr [ecx], al; ret 0x1489; 
0x0004b4f5: sbb byte ptr [ecx], al; ret 0xcfc1; 
0x0004b5bc: sbb byte ptr [ecx], al; ret 0xfd89; 
0x00106239: sbb byte ptr [ecx], bh; ret 0x840f; 
0x0003c419: sbb byte ptr [ecx], bh; ret 0x860f; 
0x000a9e86: sbb byte ptr [ecx], ch; ret 0x7c83; 
0x000c3e13: sbb byte ptr [ecx], cl; ret 0x850f; 
0x000fa725: sbb cl, ch; ret 0xfffe; 
0x001091dc: sbb dh, dh; ret 0x7502; 
0x000c82f4: sbb dword ptr [ebx + 0x11c2454], ecx; ret 0xd131; 
0x000e4ed7: sbb eax, 0x81000268; ret; 
0x000bf2d7: sbb eax, 0x810004c4; ret; 
0x000b75d7: sbb eax, 0x81000541; ret; 
0x000913d7: sbb eax, 0x810007a3; ret; 
0x0008b0d7: sbb eax, 0x81000806; ret; 
0x0008a5d7: sbb eax, 0x81000811; ret; 
0x0008a1d7: sbb eax, 0x81000815; ret; 
0x00082ad7: sbb eax, 0x8100088c; ret; 
0x00077fd7: sbb eax, 0x81000937; ret; 
0x000655d7: sbb eax, 0x81000a61; ret; 
0x0004cfd7: sbb eax, 0x81000be7; ret; 
0x000490d7: sbb eax, 0x81000c26; ret; 
0x000281d7: sbb eax, 0x81000e35; ret; 
0x000d87e8: sbb eax, 0x83242c8b; ret 0xf01; 
0x000d877f: sbb eax, 0x83243c8b; ret 0xf01; 
0x00026bd8: sbb eax, 0xf0e90000; ret; 
0x0004c7ce: sbb eax, dword ptr [ecx]; ret 0xc9c1; 
0x0004c491: sbb eax, dword ptr [ecx]; ret 0xcec1; 
0x00049950: sbb eax, dword ptr [ecx]; ret 0xcfc1; 
0x0008a01e: scasb al, byte ptr es:[edi]; ret 0xfff9; 
0x00123f48: scasb al, byte ptr es:[edi]; ret; 
0x00109527: scasd eax, dword ptr es:[edi]; ret 0x4489; 
0x0005fdb8: scasd eax, dword ptr es:[edi]; ret 0x6c8b; 
0x000300b3: scasd eax, dword ptr es:[edi]; ret 0xc601; 
0x00030941: scasd eax, dword ptr es:[edi]; ret 0xc701; 
0x0003308a: scasd eax, dword ptr es:[edi]; ret 0xc801; 
0x000688ed: scasd eax, dword ptr es:[edi]; ret 0xfffb; 
0x000f096b: scasd eax, dword ptr es:[edi]; ret 0xfffc; 
0x00052e2f: setbe al; ret; 
0x0004e2bc: setne al; ret; 
